,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
1755,"Rp 1,45 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Murah Lokasi Bagus Bisa Nego Antapani Bandung,"Antapani, Bandung",3,1,0,LT : 198 m²,LB : 60 m²
1756,"Rp 5,25 Miliar",Cicilan: 19 Jutaan per bulan,Rumah Mewah Harga Murah Dago Pakar Bandung,"Dago, Bandung",4,3,1,LT : 490 m²,LB : 300 m²
1757,Rp 27 Miliar,Cicilan: 100 Jutaan per bulan,Rumah Strategis Bisnis Sayap Riau Bandung Kota,"Riau, Bandung",13,5,2,LT : 620 m²,LB : 400 m²
1758,Rp 875 Juta,Cicilan: 3 Jutaan per bulan,Rumah Baru 2lt. di Kiara Sari Asri Buah Batu Kota Bandung,No Data,3,2,1,LT : 60 m²,LB : 70 m²
1759,"Rp 3,9 Miliar",Cicilan: 14 Jutaan per bulan,Rumah Murah Hitung Tanah di Bkr Kembar Bandung,"Regol, Bandung",5,3,1,LT : 394 m²,LB : 300 m²
1760,"Rp 2,99 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Minimalis Siap Huni Dalam Cluster Setiabudi ,"Setiabudi, Bandung",4,3,0,LT : 200 m²,LB : 175 m²
1761,Rp 999 Juta,Cicilan: 3 Jutaan per bulan,Rumah Baru Murah Siap Huni Arcamanik Cisaranten Bandung,"Arcamanik, Bandung",4,3,0,LT : 100 m²,LB : 120 m²
1762,Rp 700 Juta,Cicilan: 2 Jutaan per bulan,Jual Rumah Dan Kostan Akses Gang Pusat Kota Di Alun Alun Bandung,"Asia Afrika, Bandung",7,2,0,LT : 63 m²,LB : 63 m²
1763,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,Di  Rumah View Bandung Awiligar Dago,"Dago, Bandung",4,1,2,LT : 281 m²,LB : 300 m²
1764,"Rp 1,2 Miliar",Cicilan: 4 Jutaan per bulan,Dijual Rumah Siap Huni Kopo Permai,"Kopo Permai, Bandung",4,2,1,LT : 92 m²,LB : 150 m²
1765,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,Dijual Rumah Siap Huni Di Taman Kopo Indah 1 Tki 1,"Taman Kopo Indah, Bandung",2,1,0,LT : 120 m²,LB : 80 m²
1766,Rp 850 Juta,Cicilan: 3 Jutaan per bulan,Rumah Nyaman Siap Huni di Kopo Safira,"Kopo, Bandung",2,1,0,LT : 85 m²,LB : 47 m²
1767,"Rp 2,99 Miliar",Cicilan: 11 Jutaan per bulan,Rumah di Jalan Setiabudi 2 Lantai Siap Huni,"Bandung Utara, Bandung",4,5,2,LT : 221 m²,LB : 232 m²
1768,"Rp 1,39 Miliar",Cicilan: 5 Jutaan per bulan,Jual Rumah Minimalis di Kopo Permai 1,"Kopo Permai, Bandung",3,2,0,LT : 108 m²,LB : 170 m²
1769,Rp 745 Juta,Cicilan: 2 Jutaan per bulan,JUAL RUMAH TERAWAT DI GRAND SHARON,"Rancasari, Bandung",2,1,0,LT : 72 m²,LB : 42 m²
