,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
10411,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,Rumah Minimalis Modern Siap Huni Dalam Cluster Grand Sharon Residence ,"Bandung Kota, Bandung",2,1,1,LT : 72 m²,LB : 45 m²
10412,"Rp 1,7 Miliar",Cicilan: 6 Jutaan per bulan,Rumah sudah full renovasi yang nyaman di Kopo permai,"Kopo, Bandung",3,3,2,LT : 203 m²,LB : 190 m²
10413,"Rp 5,2 Miliar",Cicilan: 19 Jutaan per bulan,Jual Rumah Besar di Singgasana Jalan Langlang Buana ,"Mekar Wangi, Bandung",4,4,2,LT : 200 m²,LB : 450 m²
10414,Rp 24 Miliar,Cicilan: 89 Jutaan per bulan,Rumah Sayap Riau Jalan Cilaki Bandung,"Riau, Bandung",3,2,4,LT : 429 m²,LB : 600 m²
10415,"Rp 5,95 Miliar",Cicilan: 22 Jutaan per bulan,RUMAH 2LANATI SHM FULL FURNISHED DI BATUNUNGGAL KOTA BANDUNG ,"Batununggal, Bandung",4,5,1,LT : 225 m²,LB : 350 m²
10416,"Rp 23,7 Miliar",Cicilan: 88 Jutaan per bulan,"Rumah Dago Hitung Tanah, Jarang Ada","Dago, Bandung",5,5,4,LT : 600 m²,LB : 500 m²
10417,"Rp 2,2 Miliar",Cicilan: 8 Jutaan per bulan,"Rumah asri di  Sarijadi
","Sarijadi, Bandung",3,2,2,LT : 120 m²,LB : 150 m²
10418,"Rp 4,95 Miliar",Cicilan: 18 Jutaan per bulan,Rumah Minimalis Modern 2 Lantai Lingkungan Nyaman Siap Huni di Singgasana Pradana Bandung,"Mekar Wangi, Bandung",4,3,1,LT : 200 m²,LB : 210 m²
10419,Rp 470 Juta,Cicilan: 1 Jutaan per bulan,Dijual Rumah baru di Cibiru Bandung dekat Kampus UPI,"Cibiru, Bandung",2,1,1,LT : 72 m²,LB : 50 m²
10420,"Rp 1,98 Miliar",Cicilan: 7 Jutaan per bulan,Dijual Rumah Bagus Baru Renov di Tatar Banyaksumba Kbp,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 72 m²,LB : 86 m²
10421,"Rp 1,05 Miliar",Cicilan: 3 Jutaan per bulan,Dijual Rumah Thi Siap Dibangun Jadi 2 Lantai,"Holis Cigondewah, Bandung",1,1,0,LT : 110 m²,LB : 60 m²
10422,Rp 32 Miliar,Cicilan: 118 Jutaan per bulan,Rumah Bagus Siap Huni Hitung Tanah Di Ciumbuleuit Bandung,"Ciumbuleuit, Bandung",6,3,2,LT : 1280 m²,LB : 750 m²
10423,"Rp 3,3 Miliar",Cicilan: 12 Jutaan per bulan,Rumah terawat one gate system di Batununggal,"Batununggal, Bandung",2,2,1,LT : 169 m²,LB : 140 m²
10424,Rp 575 Juta,Cicilan: 2 Jutaan per bulan,Rumah idaman di komplek Adipati kusuma bisa KPR ,"Baleendah, Bandung",2,1,1,LT : 94 m²,LB : 45 m²
10425,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,"Jual Rumah Sayap Buah Batu, Jalan Suryalaya Timur II","Buah Batu, Bandung",7,3,2,LT : 300 m²,LB : 340 m²
10426,"Rp 1,95 Miliar",Cicilan: 7 Jutaan per bulan,Rumah di Pondok Hijau Bagus dan Terawat,"Bandung Utara, Bandung",1,1,1,LT : 116 m²,LB : 143 m²
10427,"Rp 3,6 Miliar",Cicilan: 13 Jutaan per bulan,Dijual Rumah 2 Lantai di Taman Holis Indah,"Holis Cigondewah, Bandung",4,4,2,LT : 300 m²,LB : 400 m²
10428,"Rp 1,55 Miliar",Cicilan: 5 Jutaan per bulan, Rumah 2 Lantai Nyaman Asri di Arcamanik Endah Bandung,"Arcamanik, Bandung",3,2,2,LT : 120 m²,LB : 220 m²
10429,"Rp 2,1 Miliar",Cicilan: 7 Jutaan per bulan,Langka Jarang Ada Rumah Setrasari 2m An Nih Setramurni Bandung,"Setra Sari, Bandung",3,2,2,LT : 124 m²,LB : 85 m²
10430,"Rp 2,6 Miliar",Cicilan: 9 Jutaan per bulan,RUMAH 2LANTAI SHM SANGAT TERAWAT DI GOLF ARCAMANIK KOTA BANDUNG,"Arcamanik, Bandung",7,5,1,LT : 300 m²,LB : 200 m²
10431,"Rp 3,1 Miliar",Cicilan: 11 Jutaan per bulan,Dijual Rumah Siap Huni di Taman Kopo Indah 3,"Taman Kopo Indah, Bandung",3,2,1,LT : 260 m²,LB : 175 m²
10432,"Rp 2,32 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Desain Elegan Minimalis di Taman Kopo Indah 3,"Taman Kopo Indah, Bandung",3,4,2,LT : 119 m²,LB : 200 m²
10433,"Rp 2,79 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Smart Home Furnished di Kota Baru Parahyangan Bandung,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 126 m²,LB : 145 m²
10434,"Rp 2,8 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Cantik Hook 2 Lantai di Sayap Bkr Bandung,"BKR, Bandung",4,3,1,LT : 133 m²,LB : 170 m²
10435,"Rp 7,6 Miliar",Cicilan: 28 Jutaan per bulan,Rumah Siap Huni 2 Lantai Dikawasan Elite Batununggal,"Batununggal, Bandung",5,3,1,LT : 300 m²,LB : 480 m²
10436,Rp 395 Juta,Cicilan: 1 Jutaan per bulan,Dijual Rumah Lokasi Strategis di Melatiwangi Bandung,"Bandung Kota, Bandung",2,1,0,LT : 72 m²,LB : 45 m²
10437,"Rp 2,75 Miliar",Cicilan: 10 Jutaan per bulan,Rumah 2 lantai ex Kantor lokasi strategis di sayap Otista,"Otista, Bandung",3,2,4,LT : 254 m²,LB : 324 m²
10438,Rp 600 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Siap Huni Di De Sangkanhurip Estate,"Katapang, Bandung",2,1,0,LT : 72 m²,LB : 36 m²
10439,Rp 550 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Lokasi Strategis di Margahayu Bandung,"Margahayu, Bandung",3,2,1,LT : 78 m²,LB : 66 m²
10440,"Rp 2,95 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Murah Terawat Megaraya Pasteur Dekat Tol,"Pasteur, Bandung",4,2,1,LT : 326 m²,LB : 250 m²
10441,Rp 33 Miliar,Cicilan: 122 Jutaan per bulan,Rumah Gedung Supratman Sayap Riau Lux Bagus,"Riau, Bandung",9,9,0,LT : 840 m²,LB : 1400 m²
10442,"Rp 2,05 Miliar",Cicilan: 7 Jutaan per bulan,"Rumah Nyaman di Setra Regency , Ciwaruga, Bandung","Parongpong, Bandung",5,3,2,LT : 172 m²,LB : 200 m²
10443,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan," Rumah Baru Siap Huni Turangga, Bandung ","Turangga, Bandung",4,2,0,LT : 140 m²,LB : 120 m²
10444,Rp 475 Juta,Cicilan: 1 Jutaan per bulan,Rumah Minimalis Siap Huni di Derwati Riung Bandung,"Bandung Kota, Bandung",3,1,1,LT : 65 m²,LB : 65 m²
10445,"Rp 1,2 Miliar",Cicilan: 4 Jutaan per bulan,Rumah 2 Lantai Taman Holis Indah 1 Siap Huni,"Holis Cigondewah, Bandung",4,2,1,LT : 90 m²,LB : 120 m²
10446,Rp 575 Juta,Cicilan: 2 Jutaan per bulan, Rumah Minimalis Dalam Cluster Griya Cempaka Arum Gedebage,"Gede Bage, Bandung",3,2,1,LT : 84 m²,LB : 60 m²
10447,Rp 900 Juta,Cicilan: 3 Jutaan per bulan,Rumah Bagus Unfurnished SHM di Ligar Raya Bandung,"Cigadung, Bandung",1,1,1,LT : 100 m²,LB : 60 m²
10448,Rp 4 Miliar,Cicilan: 14 Jutaan per bulan,Jual Cepat Rumah Semifurnish Lokasi Tenang Istana Regency Bandung,"Cicendo, Bandung",4,3,2,LT : 303 m²,LB : 350 m²
10449,Rp 576 Juta,Cicilan: 2 Jutaan per bulan,Rumah dijual cantik unit terbatas,"Ciwastra, Bandung",2,1,0,LT : 60 m²,LB : 40 m²
10450,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah Siap Huni Furnished Di Margahayu Raya Bandung ,"Soekarno Hatta, Bandung",6,3,2,LT : 210 m²,LB : 300 m²
10451,"Rp 1,6 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Taman Kopo Indah 2, Bandung","Bandung Kota, Bandung",3,2,1,LT : 126 m²,LB : 160 m²
10452,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,"Rumah 2 Lantai Bagus Unfurnished SHM di Taman Kopo Indah 5, Bandung","Bandung Kota, Bandung",3,2,0,LT : 108 m²,LB : 101 m²
10453,Rp 900 Juta,Cicilan: 3 Jutaan per bulan,Dijual Rumah Taman Kopo Indah 1 Bagus Siap Huni ,"Taman Kopo Indah, Bandung",3,1,1,LT : 95 m²,LB : 120 m²
10454,"Rp 1,9 Miliar",Cicilan: 7 Jutaan per bulan,"Dijual Rumah Sudut belleza Residence, Antapani","Antapani, Bandung",4,2,2,LT : 117 m²,LB : 105 m²
10455,"Rp 1,2 Miliar",Cicilan: 4 Jutaan per bulan,Jual rumah dua lantai sayap Supratman dekat gd sate pusat kota,"Supratman, Bandung",5,3,1,LT : 108 m²,LB : 120 m²
10456,"Rp 1,45 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Taman Kopo Indah 2, Bandung","Bandung Kota, Bandung",2,2,1,LT : 158 m²,LB : 140 m²
10457,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,Rumah di Arcamanik 2 Lantai siap Huni Nego Sampai Jadi ,"Bandung Kota, Bandung",3,2,2,LT : 85 m²,LB : 140 m²
10458,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Taman Kopo Indah 3, Bandung","Bandung Kota, Bandung",2,2,1,LT : 119 m²,LB : 90 m²
10459,"Rp 1,7 Miliar",Cicilan: 6 Jutaan per bulan,Dijual Rumah Lokasi Bumi Kopo Kencana Siap Huni,"Bandung Kota, Bandung",3,2,0,LT : 153 m²,LB : 120 m²
10460,Rp 9 Miliar,Cicilan: 33 Jutaan per bulan,Rumah Modern Minimalis Siap Huni di Jingganagara Kbp Bandung,"Kota Baru Parahyangan, Bandung",4,3,2,LT : 370 m²,LB : 700 m²
10461,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Rumah tengah kota jln.Embong kekiri jln.veteran kanan jln Naripan kota Bandung depan rm legit mudah dijangkau kendaraan umum,"Sumurbandung, Bandung",3,1,0,LT : 152 m²,LB : 140 m²
10462,"Rp 1,67 Miliar",Cicilan: 6 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Taman Kopo Idah 3, Bandung","Bandung Kota, Bandung",2,2,1,LT : 126 m²,LB : 160 m²
10463,"Rp 1,59 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah 2 Lantai Bagus Unfurnished SHM di Taman Kopo Indah 2, Bandung","Bandung Kota, Bandung",3,3,2,LT : 128 m²,LB : 182 m²
10464,Rp 23 Miliar,Cicilan: 85 Jutaan per bulan,Dijual Rumah Murah di Bandung dekat ke Alun alun Bandung,"Bandung Kota, Bandung",4,4,4,LT : 870 m²,LB : 450 m²
10465,Rp 940 Juta,Cicilan: 3 Jutaan per bulan,Rumah Minimalis Hanya 900 Jt An di Kiara Sari Buah Batu,"Kiaracondong, Bandung",3,2,1,LT : 108 m²,LB : 80 m²
10466,"Rp 2,35 Miliar",Cicilan: 8 Jutaan per bulan,"Rumah Antapani Pelangi, Bandung 2 Lantai SHM","Antapani, Bandung",4,4,1,LT : 160 m²,LB : 230 m²
10467,"Rp 1,5 Miliar",Cicilan: 5 Jutaan per bulan,Dijual rumah baru minimalis di sayap leuwi panjang,"Leuwi Panjang, Bandung",3,2,1,LT : 72 m²,LB : 144 m²
10468,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Mewah 3Lantai+kolam Renang Cluster Antapani Kota Bandung,"Bandung Timur, Bandung",4,4,1,LT : 128 m²,LB : 300 m²
10469,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,Korea Ada Kolam Renang Sayap Kopo Rumah Lux Granit Jual Repat,"Kopo, Bandung",4,3,3,LT : 320 m²,LB : 225 m²
10470,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,RUMAH MINIMALIS CLUSTER CISARANTEN ARCAMANIK ,"Arcamanik, Bandung",3,2,1,LT : 85 m²,LB : 140 m²
10471,Rp 2 Miliar,Cicilan: 7 Jutaan per bulan,"Rumah 2 Lantai Bagus Unfurnished SHM di Taman Kopo Indah 2, Bandung","Bandung Kota, Bandung",3,3,1,LT : 102 m²,LB : 170 m²
10472,Rp 650 Juta,Cicilan: 2 Jutaan per bulan,Dijual rumah barubisa Kpr bank di Cihanjuang Bandung Barat 6 mnt Pemkot Cimahi,"Cihanjuang, Bandung",3,2,1,LT : 60 m²,LB : 50 m²
10473,Rp 970 Juta,Cicilan: 3 Jutaan per bulan,Miliki Rumah Bagus 2 lantai di Cihanjuang Cimahi lokasi masuk komplek dekat ke Borma,"Cihanjuang, Bandung",2,2,1,LT : 89 m²,LB : 60 m²
10474,Rp 3 Miliar,Cicilan: 11 Jutaan per bulan,"Rumah 2 Lantai Bagus Unfurnished SHM di Taman Kopo Indah 1, Bandung","Bandung Kota, Bandung",3,3,1,LT : 175 m²,LB : 250 m²
10475,Rp 175 Juta,Cicilan: 650 Ribuan per bulan,Jual rumah bandung legalitas SHM mewah murah,"Arcamanik, Bandung",2,1,1,LT : 50 m²,LB : 30 m²
10476,Rp 8 Miliar,Cicilan: 29 Jutaan per bulan,Rumah Villa Minimalis Modern City View Dago Pakar Bandung Utara ,"Dago Pakar, Bandung",4,4,3,LT : 404 m²,LB : 600 m²
10477,"Rp 7,5 Miliar",Cicilan: 27 Jutaan per bulan,Dijual Rumah Asri Terawat Mainroad Sumbersari Kin,"Babakanciparay, Bandung",4,3,2,LT : 482 m²,LB : 195 m²
10478,Rp 625 Juta,Cicilan: 2 Jutaan per bulan,Murah Dijual Rumah Siap Huni Margaasih ,"Margaasih, Bandung",3,1,0,LT : 83 m²,LB : 100 m²
10479,"Rp 29,9 Miliar",Cicilan: 111 Jutaan per bulan,Tempat Usaha sangat strategis sayap Diponegoro Gasibu,"Diponegoro, Bandung",4,3,8,LT : 800 m²,LB : 600 m²
10480,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,Singgasana Pradana Bagus Bandung Selatan,"Cibaduyut, Bandung",3,2,1,LT : 240 m²,LB : 180 m²
10481,Rp 600 Juta,Cicilan: 2 Jutaan per bulan,Jual Rumah Halimun Foresta Ketapang Bandung Die,"Kopo, Bandung",2,1,1,LT : 72 m²,LB : 60 m²
10482,Rp 715 Juta,Cicilan: 2 Jutaan per bulan,Jual rumah siap huni antapani akses 2 mobil,"Antapani, Bandung",2,1,1,LT : 102 m²,LB : 60 m²
10483,"Rp 1,05 Miliar",Cicilan: 3 Jutaan per bulan,Dijual Rumah Thi Siap Dibangun Jadi 2 Lantai,"Holis Cigondewah, Bandung",1,1,1,LT : 119 m²,LB : 60 m²
10484,Rp 495 Juta,Cicilan: 1 Jutaan per bulan,Di Jual Rumah Cantik Minimalis Di Cibiru Cocok Untuk Pasangan Muda,"Cibiru, Bandung",2,1,1,LT : 74 m²,LB : 50 m²
10485,"Rp 3,27 Miliar",Cicilan: 12 Jutaan per bulan,Rumah SETRA DUTA KEREN 2 Lantai SEMI FURNISHED SHM Baru Barat,"Setra Duta, Bandung",3,3,2,LT : 89 m²,LB : 192 m²
10486,Rp 8 Miliar,Cicilan: 29 Jutaan per bulan,Pilihan Terbaik Hunian Rumah Mewah Setiabudi Regency Bandung,"Setiabudi, Bandung",4,4,2,LT : 727 m²,LB : 700 m²
10487,"Rp 2,95 Miliar",Cicilan: 10 Jutaan per bulan,"di Taman Sakura , Sukarno Hatta, Bandung","Babakanciparay, Bandung",3,2,4,LT : 421 m²,LB : 165 m²
10488,Rp 570 Juta,Cicilan: 2 Jutaan per bulan,Di Jual Rumah Siap Huni Di Cibiru Cocok Untuk Pasangan Muda,"Cibiru, Bandung",2,1,1,LT : 98 m²,LB : 63 m²
10489,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,For Sale Rumah 1 Lantai Di Taman Kopo Indah 1 Kota Bandung,"Margaasih, Bandung",3,2,0,LT : 120 m²,LB : 80 m²
10490,Rp 330 Juta,Cicilan: 1 Jutaan per bulan,Dijual Rumah Murah Meriah di Tamansari Manglayang Regency,"Cileunyi, Bandung",2,1,1,LT : 60 m²,LB : 45 m²
10491,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Mewah Di Komplek Elite Batununggal Bandung,"Batununggal, Bandung",4,3,1,LT : 180 m²,LB : 280 m²
10492,"Rp 3,85 Miliar",Cicilan: 14 Jutaan per bulan,Rumah Asri Semi Furnished di Komplek Batununggal,"Batununggal, Bandung",5,4,1,LT : 180 m²,LB : 280 m²
10493,Rp 275 Juta,Cicilan: 1 Jutaan per bulan,Rumah Indent Bebas Desain Bandung,"Bandung Selatan, Bandung",2,1,1,LT : 72 m²,LB : 50 m²
10494,"Rp 4,85 Miliar",Cicilan: 18 Jutaan per bulan,Rumah Hitung Tanah di Ciumbuleuit Akses Dekat Ke Unpar,"Cidadap, Bandung",4,4,0,LT : 194 m²,LB : 78 m²
10495,"Rp 3,2 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Lux Luas Dalam Cluster Exclusive Di Antapani Bandung,"Antapani, Bandung",4,3,2,LT : 294 m²,LB : 250 m²
10496,Rp 975 Juta,Cicilan: 3 Jutaan per bulan, Rumah Lokasi Di Mohamad Toha Bandung Siap Huni,"Moch Toha, Bandung",4,2,0,LT : 161 m²,LB : 121 m²
10497,"Rp 2,6 Miliar",Cicilan: 9 Jutaan per bulan,Ada Kolam Nyaa Buat Kmu Rumah Pondok Hijau Setiabudi Bandung Gass,"Pondok Hijau, Bandung",3,3,1,LT : 152 m²,LB : 250 m²
10498,"Rp 7,8 Miliar",Cicilan: 29 Jutaan per bulan,Cuss Rumah Asri Kawasan Elite Gegerkalong Sayap Setiabudi Bandung,"Geger Kalong, Bandung",4,5,2,LT : 482 m²,LB : 300 m²
10499,"Rp 4,6 Miliar",Cicilan: 17 Jutaan per bulan,Rumah Cocok Untuk Usaha di Gempol Sari Bandung,"Cijerah, Bandung",2,3,0,LT : 322 m²,LB : 300 m²
10500,"Rp 1,05 Miliar",Cicilan: 3 Jutaan per bulan,Dijual Murah Rumah 2 Lantai 4 Kt Taman Holis Indah Fem ,"Holis Cigondewah, Bandung",4,2,1,LT : 96 m²,LB : 108 m²
10501,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Murah Di Dago Kawasan Premium Kota Bandung Dekat ITB,"Cigadung, Bandung",3,2,2,LT : 108 m²,LB : 76 m²
10502,Rp 11 Miliar,Cicilan: 40 Jutaan per bulan,Dijual Rumah Cigadung European Style MSN,"Cigadung, Bandung",3,4,1,LT : 895 m²,LB : 259 m²
10503,Rp 887 Juta,Cicilan: 3 Jutaan per bulan,Di Jual Rumah Baru Bangunan Scandinavian Di Ciganitri Dekat Stt Telkom,"Bojongsoang, Bandung",3,3,1,LT : 104 m²,LB : 70 m²
10504,"Rp 5,2 Miliar",Cicilan: 19 Jutaan per bulan,Gaskeun Full Furnished Rumah Siap Huni Setraduta Bandung,"Setra Duta, Bandung",3,3,1,LT : 190 m²,LB : 350 m²
10505,"Rp 6,15 Miliar",Cicilan: 22 Jutaan per bulan,Gaskann Rumah Kece Mewah Bett Kawasan Favorit Setraduta Bandung,"Setra Duta, Bandung",4,3,2,LT : 240 m²,LB : 425 m²
10506,"Rp 9,5 Miliar",Cicilan: 35 Jutaan per bulan,"Rumah 2 Lantai Bagus SHM di Setra Duta Hegar Bandung, Bandung","Setra Duta, Bandung",4,3,4,LT : 425 m²,LB : 525 m²
10507,"Rp 7,9 Miliar",Cicilan: 29 Jutaan per bulan,Jual Dibawah Pasaran Mendekati Njop Rumah Elite Setrasari Bandung,"Setra Sari, Bandung",8,5,4,LT : 750 m²,LB : 500 m²
10508,Rp 6 Miliar,Cicilan: 22 Jutaan per bulan,Dijual Rumah Megah di Ligar Sayap Cigadung Bandung Sa,"Cigadung, Bandung",5,2,2,LT : 820 m²,LB : 500 m²
10509,Rp 6 Miliar,Cicilan: 22 Jutaan per bulan,MURAH!!! MAINROAD RAJAWALI,"Andir, Bandung",3,2,3,LT : 315 m²,LB : 210 m²
10510,"Rp 2,8 Miliar",Cicilan: 10 Jutaan per bulan,Mari Kemari Beli Rumah Elit Di Setiabudi Regency Bandung Kota,"Setiabudi, Bandung",4,3,6,LT : 202 m²,LB : 230 m²
10511,"Rp 2,87 Miliar",Cicilan: 10 Jutaan per bulan,Strategis Parah Rumah Terbaik Di Setiabudi Regency Bandung,"Setiabudi, Bandung",5,5,1,LT : 255 m²,LB : 330 m²
10512,Rp 20 Miliar,Cicilan: 74 Jutaan per bulan,Next Level Yukk Beli Rumah Besar Di Sukajadi Bandung Kota,"Sukajadi, Bandung",9,5,2,LT : 850 m²,LB : 425 m²
10513,"Rp 2,7 Miliar",Cicilan: 10 Jutaan per bulan,Kedipan Matamu Beli Rumah Baru Di Setiabudi Regency Bandung Kota,"Setiabudi, Bandung",3,3,0,LT : 177 m²,LB : 250 m²
10514,"Rp 3,1 Miliar",Cicilan: 11 Jutaan per bulan,Cari Samasama Rumah Bagus Siap Huni Di Lengkong Buah Batu Bandung,"Lengkong, Bandung",10,4,3,LT : 300 m²,LB : 253 m²
10515,Rp 2 Miliar,Cicilan: 7 Jutaan per bulan,Lokasi Terbaik Rumah Di Sukagalih Pasteur Bandung Kota,"Pasteur, Bandung",5,3,2,LT : 97 m²,LB : 97 m²
10516,"Rp 2,79 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Bagus 2 Lantai Lingkungan Nyaman Siap Huni Di Tatar Wangsakerta Kota Baru Parahyangan Bandung,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 126 m²,LB : 145 m²
10517,"Rp 1,6 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Taman Kopo Indah 2, Bandung","Bandung Kota, Bandung",3,2,1,LT : 126 m²,LB : 160 m²
10518,"Rp 3,39 Miliar",Cicilan: 12 Jutaan per bulan,Rumah Minimalis Modern Bagus Dijual Nego di Setra Sari Bandung,"Setra Sari, Bandung",4,3,2,LT : 133 m²,LB : 175 m²
10519,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Taman Kopo Indah 5, Bandung","Bandung Kota, Bandung",2,2,1,LT : 108 m²,LB : 101 m²
10520,Rp 825 Juta,Cicilan: 3 Jutaan per bulan,Rumah Lokasi Strategis di Komplek Mulya Golf Residence Bandung,"Bandung Kota, Bandung",2,1,2,LT : 96 m²,LB : 80 m²
10521,Rp 725 Juta,Cicilan: 2 Jutaan per bulan,Rumah Lokasi Strategis di De Sangkan Hurip Estate Bandung,"Katapang, Bandung",2,1,1,LT : 72 m²,LB : 36 m²
10522,"Rp 2,05 Miliar",Cicilan: 7 Jutaan per bulan,Rumah Tinggal Sìap Huni Buah Batu Bandung ,"Buah Batu, Bandung",4,4,1,LT : 170 m²,LB : 225 m²
10523,"Rp 1,45 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Taman Kopo Indah 2, Bandung","Bandung Kota, Bandung",2,2,1,LT : 159 m²,LB : 140 m²
10524,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Taman Kopo Indah 3, Bandung","Bandung Kota, Bandung",2,2,1,LT : 119 m²,LB : 90 m²
10525,"Rp 1,67 Miliar",Cicilan: 6 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Taman Kopo Indah 3, Bandung","Bandung Kota, Bandung",2,2,1,LT : 126 m²,LB : 160 m²
10526,"Rp 1,49 Miliar",Cicilan: 5 Jutaan per bulan,Sayap Pasir Luyu - Bangunan Bagus Minimalis Lux Siap Huni - Turun Harga Jual Cepat (Good Invest),"Regol, Bandung",5,3,0,LT : 145 m²,LB : 210 m²
10527,Rp 690 Juta,Cicilan: 2 Jutaan per bulan, Rumah Siap Huni Aman Dan Nyaman di Bukit Sukanegara Resort Soreang ,"Soreang, Bandung",2,1,1,LT : 72 m²,LB : 62 m²
10528,"Rp 1,59 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah 2 Lantai Bagus Unfurnished SHM di Taman Kopo Indah 2, Bandung","Bandung Kota, Bandung",3,3,2,LT : 128 m²,LB : 182 m²
10529,"Rp 2,1 Miliar",Cicilan: 7 Jutaan per bulan,Dijual Rumah Strategis Pinggir Jalan Area Kiaracondong Bandung,"Kiaracondong, Bandung",5,4,2,LT : 170 m²,LB : 200 m²
10530,Rp 969 Juta,Cicilan: 3 Jutaan per bulan,Dijual Rumah 2 Lantai SHM di Cikutra dkt pusat kota ,"Cikutra, Bandung",3,2,2,LT : 105 m²,LB : 60 m²
10531,"Rp 1,65 Miliar",Cicilan: 6 Jutaan per bulan,Rumah 2 Lantai Terawat Buah Batu Siap Huni,"Buah Batu, Bandung",5,3,0,LT : 200 m²,LB : 300 m²
10532,"Rp 2,6 Miliar",Cicilan: 9 Jutaan per bulan,"Rumah 2 Lantai Bagus Semi Furnished SHM di Taman Kopo Indah 2, Bandung","Taman Kopo Indah, Bandung",5,3,1,LT : 180 m²,LB : 300 m²
10533,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,Rumah Minimalis Modern Siap Huni Dalam Cluster Grand Sharon Residence ,"Bandung Kota, Bandung",2,1,1,LT : 72 m²,LB : 45 m²
10534,Rp 2 Miliar,Cicilan: 7 Jutaan per bulan,"Rumah 2 Lantai Bagus Unfurnished SHM di Taman Kopo Indah 2, Bandung","Bandung Kota, Bandung",3,3,0,LT : 102 m²,LB : 170 m²
10535,"Rp 3,49 Miliar",Cicilan: 12 Jutaan per bulan,*Dijual Rumah Semi Furnished Komplek Dadali Bandung*,"Dadali, Bandung",4,2,0,LT : 240 m²,LB : 175 m²
10536,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,Rumah di Cluster siap huni daerah Arcamanik,"Arcamanik, Bandung",4,2,1,LT : 110 m²,LB : 198 m²
10537,"Rp 3,39 Miliar",Cicilan: 12 Jutaan per bulan,"Jual Rumah BARU SIAP HUNI spek PREMIUM dekat Exit TOL PASTEUR Bandung
","Pasteur, Bandung",4,3,2,LT : 133 m²,LB : 175 m²
10538,Rp 3 Miliar,Cicilan: 11 Jutaan per bulan,"Rumah 2 Lantai Bagus Unfurnished SHM di Taman Kopo Indah 1, Bandung","Taman Kopo Indah, Bandung",3,3,1,LT : 175 m²,LB : 250 m²
10539,"Rp 1,55 Miliar",Cicilan: 5 Jutaan per bulan,Rumah 2 Lantai Nyaman Asri di Arcamanik Endah Bandung,"Arcamanik, Bandung",3,2,2,LT : 120 m²,LB : 220 m²
10540,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Rumah tengah kota jln.Embong mudah dijangkau kendaraan umum,"Sumurbandung, Bandung",3,1,0,LT : 152 m²,LB : 140 m²
10541,Rp 450 Juta,Cicilan: 1 Jutaan per bulan,Rumah mungil untuk pasangan muda Graha Rancamanyar,"Baleendah, Bandung",2,1,0,LT : 36 m²,LB : 72 m²
